SKU	PRED	PRED_CLASS
193672	0.2	0
255098	0.114	0
533439	0.484	1
218779	0.212	0
113098	0.306	0
55451	0.288	0
244347	0.204	0
368814	0.018	0
530463	0.052	0
870862	0.024	0
183094	0.09	0
106421	0.096	0
131257	0.338	0
57172	0.342	0
648973	0.028	0
917016	0.044	0
662623	0.022	0
60794	0.166	0
795081	0.106	0
314800	0.254	0
247609	0.326	0
661144	0.036	0
114816	0.21	0
183174	0.206	0
200510	0.228	0
121338	0.44	1
1677773	0.02	0
2618574	0.076	0
632832	0.118	0
115024	0.078	0
881429	0.074	0
923055	0.21	0
55534	0.288	0
660660	0.028	0
57294	0.402	0
131312	0.054	0
104387	0.002	0
143305	0.102	0
1518971	0.146	0
148633	0.148	0
116339	0.122	0
191931	0.784	1
907245	0.344	0
2539147	0.05	0
632910	0.056	0
53962	0.478	1
144639	0.078	0
435143	0.526	1
256244	0.176	0
851644	0.132	0
53062	0.28	0
764405	0.098	0
53284	0.08	0
645261	0.05	0
203831	0.192	0
298586	0.1	0
115979	0.112	0
202829	0.112	0
608156	0.354	0
291736	0.318	0
339574	0.532	1
648386	0.09	0
862152	0.852	1
917952	0.454	1
118680	0.102	0
641681	0.302	0
108264	0.09	0
56551	0.524	1
913788	0.148	0
142086	0.076	0
224478	0.266	0
537431	0.502	1
127279	0.268	0
546414	0.454	1
154378	0.2	0
607214	0.186	0
634012	0.208	0
162835	0.232	0
546053	0.056	0
54917	0.158	0
200453	0.112	0
612378	0.248	0
706675	0.352	0
287638	0.46	1
1448983	0.062	0
2398684	0.056	0
639871	0.38	0
349814	0.24	0
701074	0.176	0
641506	0.034	0
527012	0.268	0
130086	0.18	0
533484	0.416	0
291248	0.022	0
548460	0.328	0
860874	0.048	0
119480	0.164	0
114307	0.078	0
533710	0.664	1
276478	0.266	0
110614	0.3	0
54264	0.228	0
525692	0.202	0
3791417	0.05	0
653922	0.042	0
622947	0.544	1
409992	0.322	0
2264246	0.342	0
169874	0.2	0
625428	0.048	0
51088	0.704	1
1778185	0.018	0
2309470	0.276	0
872946	0.21	0
639322	0.078	0
252583	0.442	1
2542334	0.03	0
2036814	0.036	0
162652	0.086	0
873168	0.11	0
630937	0.032	0
594088	0.068	0
2563605	0.128	0
178672	0.19	0
435049	0.498	1
250163	0.068	0
1982568	0.61	1
1684593	0.05	0
253972	0.212	0
658541	0.228	0
162762	0.1	0
293113	0.004	0
169522	0.232	0
169953	0.19	0
2084817	0.014	0
525768	0.13	0
630216	0.062	0
740972	0.318	0
170158	0.248	0
291702	0.098	0
718877	0.096	0
607269	0.432	1
244302	0.722	1
2510935	0.206	0
871015	0.058	0
111036	0.11	0
50378	0.262	0
534535	0.448	1
613975	0.534	1
641473	0.412	0
3246432	0.142	0
54988	0.162	0
875320	0.262	0
877930	0.302	0
2672184	0.12	0
533890	0.296	0
862260	0.032	0
618442	0.448	1
263210	0.094	0
120768	0.324	0
169547	0.138	0
320996	0.072	0
592205	0.272	0
538628	0.484	1
3594246	0.034	0
910464	0.08	0
241939	0.154	0
525703	0.18	0
252663	0.244	0
630511	0.156	0
639919	0.078	0
886281	0.032	0
142110	0.404	0
545908	0.27	0
145372	0.042	0
545953	0.434	1
422371	0.086	0
58501	0.06	0
166757	0.498	1
634693	0.08	0
652806	0.056	0
905534	0.004	0
607149	0.094	0
174538	0.056	0
178114	0.044	0
862880	0.054	0
2427056	0.134	0
60093	0.476	1
619668	0.052	0
890787	0.168	0
1571008	0.078	0
561038	0.086	0
859665	0.018	0
615159	0.034	0
3232169	0.164	0
867641	0.038	0
618098	0.006	0
57178	0.55	1
625217	0.156	0
712876	0.078	0
2341003	0.076	0
533907	0.332	0
618962	0.168	0
889071	0.196	0
905791	0.016	0
249873	0.118	0
865748	0.006	0
203668	0.19	0
533373	0.346	0
900405	0.052	0
631464	0.218	0
541150	0.058	0
104869	0.036	0
322579	0.028	0
239950	0.288	0
579088	0.31	0
118557	0.028	0
203469	0.138	0
385634	0.016	0
873234	0.274	0
591674	0.026	0
55199	0.31	0
178969	0.21	0
117954	0.418	0
774702	0.088	0
154026	0.388	0
193493	0.068	0
109729	0.07	0
877261	0.036	0
193662	0.35	0
1954181	0.23	0
191870	0.182	0
132405	0.35	0
2084654	0.228	0
552102	0.278	0
132163	0.046	0
640875	0.006	0
537108	0.04	0
103865	0.036	0
909370	0.206	0
2258801	0.258	0
577359	0.028	0
247766	0.026	0
314709	0.23	0
622242	0.048	0
114289	0.066	0
2256951	0.24	0
2105392	0.148	0
260535	0.194	0
61186	0.384	0
131895	0.108	0
120519	0.214	0
801026	0.228	0
203818	0.014	0
878498	0.37	0
52883	0.66	1
538169	0.168	0
166153	0.11	0
699818	0.07	0
1690094	0.04	0
916296	0.48	1
175889	0.136	0
290237	0.124	0
118671	0.138	0
183752	0.224	0
661485	0.094	0
1452759	0.29	0
893162	0.058	0
329878	0.116	0
299051	0.13	0
900484	0.046	0
56822	0.608	1
615865	0.558	1
633728	0.128	0
751501	0.096	0
640295	0.026	0
118016	0.23	0
527248	0.026	0
53510	0.166	0
58461	0.05	0
533071	0.402	0
532548	0.564	1
868431	0.15	0
764763	0.048	0
50947	0.282	0
285386	0.16	0
870185	0.094	0
910480	0.026	0
262742	0.02	0
607409	0.306	0
2592613	0.106	0
119286	0.41	0
921048	0.022	0
248114	0.018	0
698905	0.042	0
147088	0.172	0
607285	0.372	0
877066	0.112	0
54457	0.234	0
765415	0.078	0
50441	0.41	0
918218	0.236	0
606829	0.088	0
115306	0.236	0
908944	0.198	0
249025	0.438	1
1890620	0.07	0
285695	0.118	0
247948	0.316	0
889185	0.228	0
3101430	0.128	0
184673	0.06	0
3103470	0.084	0
528209	0.158	0
166598	0.124	0
533546	0.494	1
702187	0.04	0
649216	0.084	0
1459045	0.032	0
528416	0.044	0
148712	0.442	1
861596	0.006	0
642088	0.228	0
157482	0.044	0
680276	0.1	0
904486	0.016	0
188557	0.032	0
137189	0.04	0
661158	0.206	0
2257677	0.06	0
159515	0.064	0
553966	0.058	0
764592	0.438	1
635207	0.214	0
608023	0.28	0
111701	0.072	0
654860	0.152	0
51818	0.21	0
162111	0.196	0
121837	0.122	0
887385	0.108	0
156830	0.074	0
627359	0.088	0
2647106	0.05	0
169561	0.238	0
610159	0.342	0
130171	0.198	0
1477146	0.008	0
212896	0.142	0
158116	0.062	0
595058	0.276	0
2255142	0.088	0
289834	0.272	0
531931	0.07	0
154000	0.162	0
2525260	0.086	0
621483	0.134	0
178957	0.238	0
895240	0.046	0
133085	0.192	0
298865	0.208	0
252023	0.318	0
179157	0.016	0
55058	0.806	1
2264678	0.166	0
915140	0.092	0
2253619	0.22	0
1673245	0.132	0
178141	0.042	0
222270	0.218	0
803782	0.068	0
913405	0.092	0
225914	0.07	0
615757	0.492	1
2618036	0.028	0
106784	0.254	0
530134	0.162	0
531925	0.146	0
121168	0.168	0
858388	0.18	0
1657530	0.016	0
131500	0.046	0
58362	0.31	0
874126	0.048	0
2405110	0.088	0
607929	0.042	0
866948	0.272	0
664693	0.084	0
614785	0.166	0
642279	0.052	0
752229	0.088	0
653012	0.022	0
3599200	0.112	0
132206	0.308	0
544602	0.148	0
111371	0.096	0
197303	0.054	0
52199	0.624	1
753116	0.072	0
614168	0.102	0
868488	0.262	0
492149	0.598	1
797398	0.02	0
890476	0.014	0
1455677	0.282	0
193504	0.066	0
114200	0.094	0
718291	0.054	0
1446571	0.01	0
169812	0.438	1
3475208	0.118	0
612918	0.298	0
2598015	0.082	0
135613	0.106	0
57020	0.47	1
133492	0.106	0
620006	0.448	1
617850	0.284	0
514306	0.046	0
3512827	0.102	0
291746	0.198	0
200054	0.034	0
586753	0.21	0
108820	0.284	0
200447	0.318	0
58372	0.518	1
144524	0.126	0
60009	0.482	1
157672	0.094	0
54570	0.388	0
638838	0.136	0
276636	0.08	0
60430	0.308	0
265314	0.168	0
562230	0.026	0
637412	0.14	0
53448	0.618	1
616095	0.084	0
54067	0.116	0
619562	0.376	0
235817	0.102	0
547686	0.144	0
564619	0.094	0
178953	0.118	0
242322	0.056	0
1449841	0.064	0
613214	0.624	1
635853	0.352	0
743301	0.06	0
2568425	0.124	0
111330	0.638	1
497951	0.776	1
2675763	0.154	0
1981598	0.092	0
528248	0.044	0
2262935	0.202	0
244167	0.426	0
632650	0.11	0
526436	0.144	0
903201	0.054	0
2577595	0.178	0
104201	0.024	0
697789	0.214	0
52715	0.368	0
51827	0.086	0
177052	0.248	0
545699	0.252	0
249944	0.368	0
542908	0.036	0
147401	0.132	0
534058	0.616	1
529040	0.642	1
866750	0.414	0
289831	0.178	0
52099	0.136	0
859275	0.204	0
51619	0.414	0
169837	0.278	0
1444455	0.012	0
154029	0.45	1
2054231	0.072	0
152307	0.098	0
608356	0.272	0
145265	0.41	0
147357	0.356	0
574788	0.156	0
145519	0.124	0
1690803	0.02	0
1440682	0.136	0
540934	0.644	1
557518	0.212	0
532233	0.096	0
789762	0.066	0
633685	0.158	0
292258	0.078	0
893341	0.018	0
131366	0.264	0
738964	0.036	0
701941	0.058	0
2561611	0.064	0
221817	0.162	0
545596	0.158	0
115845	0.104	0
449375	0.236	0
1829855	0.12	0
111136	0.324	0
901513	0.098	0
537726	0.018	0
3549220	0.036	0
248245	0.42	0
145632	0.504	1
246186	0.11	0
2566184	0.064	0
131771	0.214	0
147299	0.326	0
877012	0.194	0
142166	0.32	0
428507	0.304	0
428295	0.046	0
56967	0.064	0
569455	0.06	0
288528	0.03	0
198878	0.052	0
166710	0.142	0
904453	0.03	0
54151	0.472	1
193623	0.172	0
533360	0.49	1
312829	0.12	0
193618	0.092	0
867679	0.104	0
1867642	0.134	0
2552246	0.054	0
53144	0.236	0
268393	0.022	0
530075	0.102	0
152580	0.01	0
51335	0.262	0
919056	0.378	0
739774	0.086	0
2571898	0.066	0
905282	0.14	0
120984	0.078	0
178980	0.376	0
253857	0.034	0
114218	0.092	0
131825	0.376	0
50288	0.34	0
802679	0.124	0
54735	0.464	1
907115	0.03	0
667265	0.104	0
439581	0.058	0
525842	0.052	0
53420	0.268	0
878614	0.038	0
146617	0.182	0
617160	0.304	0
200144	0.11	0
1629827	0.006	0
54124	0.316	0
2109092	0.054	0
148710	0.34	0
146485	0.818	1
52415	0.136	0
868707	0.152	0
758472	0.428	0
126067	0.062	0
178937	0.046	0
463456	0.076	0
132185	0.022	0
532697	0.066	0
2594116	0.07	0
116116	0.266	0
131338	0.064	0
540732	0.588	1
105624	0.042	0
618891	0.142	0
57326	0.058	0
900690	0.07	0
1476342	0.078	0
109308	0.178	0
55512	0.268	0
631501	0.066	0
145614	0.04	0
627275	0.07	0
60413	0.038	0
551107	0.432	1
615349	0.072	0
879494	0.084	0
259117	0.142	0
2924498	0.064	0
868055	0.092	0
2600954	0.014	0
119088	0.464	1
428545	0.098	0
2324936	0.402	0
293859	0.1	0
639897	0.106	0
183991	0.074	0
169757	0.268	0
2678798	0.15	0
146839	0.26	0
531943	0.108	0
2273681	0.076	0
145025	0.182	0
152395	0.078	0
916310	0.182	0
2823574	0.058	0
56608	0.19	0
2612678	0.08	0
332887	0.052	0
663954	0.032	0
2940215	0.02	0
52201	0.144	0
3021858	0.032	0
896899	0.024	0
628662	0.184	0
54761	0.45	1
201755	0.362	0
566367	0.046	0
643350	0.022	0
600147	0.174	0
741575	0.288	0
576409	0.138	0
106340	0.018	0
265116	0.142	0
1482317	0.06	0
900808	0.032	0
877328	0.628	1
701334	0.008	0
868396	0.354	0
611940	0.028	0
641905	0.04	0
110697	0.62	1
2856036	0.07	0
3130138	0.128	0
633845	0.028	0
101286	0.218	0
289441	0.144	0
270130	0.286	0
177215	0.124	0
111021	0.48	1
423510	0.072	0
742280	0.036	0
608175	0.114	0
408201	0.14	0
544230	0.02	0
537056	0.074	0
533317	0.212	0
55486	0.06	0
793922	0.078	0
498728	0.152	0
330103	0.052	0
543186	0.138	0
1518932	0.068	0
845722	0.074	0
922361	0.136	0
169389	0.302	0
505630	0.264	0
110149	0.232	0
2430357	0.064	0
119983	0.434	1
876796	0.054	0
123906	0.382	0
606814	0.13	0
178608	0.22	0
552086	0.502	1
526867	0.374	0
873059	0.076	0
526665	0.126	0
124677	0.046	0
126989	0.078	0
145691	0.232	0
423294	0.618	1
560247	0.196	0
154307	0.164	0
2268684	0.034	0
607342	0.306	0
877270	0.198	0
591623	0.02	0
2789284	0.078	0
2302779	0.07	0
876679	0.06	0
770496	0.1	0
865769	0.164	0
525048	0.166	0
745318	0.164	0
108632	0.204	0
110005	0.11	0
101323	0.03	0
120889	0.114	0
2719064	0.074	0
248237	0.66	1
621142	0.16	0
254493	0.036	0
909354	0.318	0
628104	0.086	0
535562	0.574	1
670749	0.14	0
766952	0.226	0
114449	0.11	0
528305	0.026	0
553544	0.024	0
566392	0.1	0
574876	0.082	0
540446	0.496	1
858789	0.188	0
51607	0.456	1
152895	0.134	0
244100	0.076	0
104708	0.412	0
55289	0.508	1
876458	0.344	0
545535	0.172	0
1456137	0.04	0
270644	0.048	0
3598676	0.112	0
1714153	0.02	0
586275	0.014	0
435105	0.6	1
504060	0.02	0
221765	0.024	0
525871	0.026	0
533934	0.092	0
1439872	0.028	0
655434	0.116	0
617631	0.034	0
203833	0.038	0
3629283	0.008	0
495606	0.292	0
285713	0.108	0
528885	0.116	0
117639	0.196	0
2387880	0.044	0
135640	0.046	0
111983	0.238	0
607588	0.16	0
2357882	0.048	0
195168	0.14	0
247605	0.074	0
178055	0.134	0
367154	0.26	0
133479	0.404	0
849005	0.188	0
128120	0.022	0
244145	0.428	0
764941	0.076	0
902267	0.022	0
541353	0.542	1
660472	0.222	0
51789	0.706	1
639924	0.044	0
120651	0.492	1
614320	0.472	1
230945	0.214	0
525065	0.008	0
165943	0.348	0
872361	0.032	0
52164	0.288	0
531343	0.404	0
57225	0.282	0
609919	0.394	0
662374	0.02	0
886685	0.062	0
417340	0.3	0
162724	0.242	0
2021106	0.106	0
637792	0.04	0
147594	0.02	0
627510	0.056	0
143778	0.132	0
293111	0.046	0
244334	0.56	1
757591	0.016	0
532087	0.3	0
147496	0.21	0
872160	0.062	0
618377	0.41	0
593897	0.15	0
198461	0.152	0
533605	0.066	0
532365	0.068	0
1592874	0.144	0
189113	0.016	0
200065	0.022	0
755405	0.022	0
630245	0.094	0
532590	0.304	0
531308	0.26	0
531211	0.014	0
199158	0.044	0
131251	0.042	0
527776	0.014	0
612945	0.128	0
544972	0.12	0
2268468	0.116	0
155356	0.108	0
55382	0.354	0
408164	0.33	0
630071	0.26	0
550990	0.076	0
295827	0.138	0
349980	0.064	0
54285	0.23	0
724850	0.03	0
50133	0.644	1
246298	0.372	0
200030	0.272	0
543858	0.136	0
640592	0.024	0
543836	0.174	0
114736	0.14	0
647921	0.312	0
57709	0.066	0
461610	0.018	0
250424	0.066	0
165787	0.172	0
2585600	0.34	0
2772354	0.064	0
545810	0.12	0
301035	0.16	0
109953	0.508	1
716578	0.228	0
610094	0.042	0
1718491	0.204	0
263307	0.192	0
130474	0.086	0
535797	0.176	0
872347	0.112	0
543872	0.144	0
