ORDEN	SKU	VENTA_ALTA	MARKETING	ACTUALIZACIONES	ACTUALIZADO	VENTAS_ACUMULADAS	PRICE	LANZAMIENTO	CANTIDAD	PRECIO_MIN	SD_PRECIO
50833	2253302	0	S	2	1	192034	58.16	2006	40	34.52	46.58
67770	700754	0	S	2	1	3891897	30.95	2004	20	30.99	16.98
71253	528795	0	S	2	1	245070	49.99	2010	32	14.01	30.98
31295	901250	0	D	4	1	3480889	390.0	2004	21	0.0	73.13
43339	578450	0	S	5	1	1422247	51.95	1990	35	4.99	35.99
28719	494719	1	D	2	1	67044	61.63	2009	46	65.08	75.7
28966	174581	1	D	1	0	773423	106.0	2000	23	72.02	94.66
58287	592786	0	S	3	1	565593	41.0	2009	28	306.53	53.55
1848	651166	0	D	0	0	3652528	23.99	2001	16	23.93	35.05
4477	50734	0	D	9	1	452123	228.95	2006	38	70.53	63.98
76320	1455230	0	S	2	1	204304	41.33	2014	15	81.14	39.27
73350	192477	0	S	2	1	1048511	92.95	2005	46	4.66	28.99
79871	1783161	0	S	8	1	1356678	67.95	2012	20	0.0	59.47
32679	60953	0	D	8	1	2188972	48.95	2001	33	75.87	41.02
15402	608676	1	D	10	1	1065643	162.95	2000	21	690.59	101.45
84262	673972	0	S	4	1	51094	29.95	2010	174	17.45	10.4
6731	196765	1	D	6	1	2922217	178.0	2005	19	102.87	69.21
80890	717686	0	S	5	1	822984	86.95	2002	36	102.82	13.98
75281	195429	0	S	4	1	30961	26.0	2005	186	0.0	40.87
31849	712172	0	D	2	1	4638613	149.4	2002	16	81.02	38.99
10064	651621	0	D	1	0	1932152	107.0	2008	23	55.66	86.68
76323	277953	0	S	5	1	1072984	183.95	2000	51	38.99	41.67
16767	224709	0	D	1	0	235638	125.95	2010	23	73.66	38.99
83144	624641	1	S	3	1	125	29.25	2014	356	44.99	10.49
68590	637236	0	S	4	1	887133	59.95	2007	39	0.0	16.47
2723	2373591	0	D	0	0	8050616	65.73	2004	11	26.25	23.99
71697	545958	0	S	5	1	11457	78.95	2013	125	44.07	48.96
25143	53120	0	D	11	1	129743	208.95	2009	77	140.97	20.89
31049	614313	1	D	0	0	181807	121.0	1978	91	65.88	33.7
13198	615986	0	D	2	1	1768528	204.0	2011	45	28.29	16.58
28850	544241	0	D	2	1	752598	129.95	2012	145	46.99	9.93
38306	114343	0	S	1	0	914308	64.99	2002	27	0.0	44.99
21731	623059	0	D	2	1	277393	117.0	1989	28	98.94	51.81
62972	58065	0	S	1	0	410875	46.95	1999	29	48.23	27.9
62120	2654376	0	S	5	1	673268	165.96	1994	76	8.28	39.59
32269	555646	1	D	6	1	554951	59.95	2006	61	41.13	9.37
25881	147638	0	D	5	1	269511	91.95	2011	138	62.27	15.44
24095	2489641	0	D	3	1	3965362	0.0	1997	35	26.43	43.31
34589	52006	1	D	12	1	83500	294.95	2010	304	172.09	22.88
77189	577406	0	S	7	1	853966	55.99	2007	29	7.64	18.33
77181	249845	0	S	2	1	1263150	285.95	2007	52	4.59	68.99
3125	888715	0	D	0	0	2610988	185.5	2011	16	129.49	50.45
8806	144989	0	D	3	1	1204906	126.0	2005	72	41.94	53.26
32336	53375	0	D	10	1	71981	215.5	2010	80	128.99	32.99
18872	287631	1	D	2	1	646062	83.4	2009	80	26.24	24.39
23565	118272	1	D	1	0	701935	180.0	2010	49	138.98	22.94
29276	141959	1	D	5	1	288651	18.95	2009	114	46.56	18.86
72394	561783	1	S	2	1	897729	228.95	2001	31	0.0	88.38
75625	622951	0	S	3	1	41425	73.95	2013	42	34.25	52.07
78811	569618	0	S	1	0	559392	202.95	2010	33	53.99	103.99
66120	606926	0	S	5	1	603946	108.0	2004	18	43.99	53.94
69989	865854	0	S	2	1	1535439	43.0	2010	16	40.52	36.16
58654	246568	0	S	7	1	2071812	39.95	2006	44	0.0	28.82
61836	728406	0	S	1	0	938960	59.99	2001	49	4.99	13.94
67713	2265932	0	S	0	0	496110	92.52	2011	29	0.0	46.33
14656	371004	1	D	2	1	464249	99.95	2000	29	149.98	73.45
1530	2676382	0	D	2	1	2439040	103.97	1992	17	18.98	85.88
19571	288916	0	D	4	1	171938	9.95	2007	32	146.96	12.94
82465	1477152	0	S	2	1	1729275	60.0	2013	15	14.2	44.0
72156	630132	0	S	1	0	25918	61.99	2008	18	0.0	36.92
31758	53132	1	D	9	1	338388	153.95	2008	90	74.95	26.15
68159	247727	0	S	2	1	260727	68.0	2007	49	20.84	46.61
64060	291574	0	S	3	1	84256	124.95	2003	97	27.14	13.99
28817	201679	0	D	0	0	920518	29.95	2002	28	28.97	7.97
64413	1629992	0	S	4	1	564813	50.95	2012	18	32.88	29.09
33399	616695	0	D	2	1	3593842	84.95	2007	19	48.67	4.36
62484	658112	0	S	4	1	150326	49.99	2013	22	0.0	0.0
54447	720054	1	S	2	1	1086423	39.95	2003	46	28.13	16.94
27677	635183	0	D	2	1	1349189	49.95	2008	29	37.97	25.61
4502	910555	1	D	2	1	5067043	25.32	1992	26	9.31	42.41
15154	610431	1	D	4	1	15904	93.99	2011	157	119.98	28.99
24221	2378199	0	D	1	0	2665328	78.33	1996	22	78.99	46.86
50156	543008	0	S	12	1	82508	46.99	2009	55	36.13	13.99
46711	908002	0	S	2	1	142798	181.75	2014	14	0.0	103.99
52392	636333	0	S	5	1	2260317	95.95	2009	20	45.04	80.06
20184	422081	0	D	4	1	717505	139.2	2006	40	72.05	50.91
50269	118055	0	S	6	1	922144	115.67	2006	19	75.98	79.47
1112	789207	0	D	6	1	2661908	35.95	2002	37	25.15	25.96
80496	2390553	0	S	4	1	2355565	35.98	1987	27	123.97	9.99
7570	628685	1	D	7	1	105191	186.0	2010	67	160.91	111.23
34450	53286	0	D	5	1	67685	240.95	2008	93	158.99	21.51
20678	169873	0	D	8	1	205887	234.95	2009	48	108.99	187.24
58532	1559286	0	S	1	0	353332	44.95	2006	22	0.0	41.72
66126	145413	0	S	11	1	510013	24.0	2006	44	26.4	13.33
76070	162064	0	S	2	1	237344	75.0	2009	25	49.99	53.21
28795	576696	1	D	1	0	899679	102.95	2010	49	26.48	20.87
82886	1688052	0	S	3	1	1765568	57.95	2008	11	0.0	68.92
50553	148384	0	S	14	1	1455023	143.95	2005	19	165.0	75.89
54027	632201	0	S	1	0	910052	88.0	1991	29	49.37	37.56
81645	745666	0	S	1	0	448557	45.0	2003	95	0.0	28.36
14819	52470	0	D	3	1	187246	157.95	2009	104	96.54	36.57
7760	52671	1	D	8	1	87500	203.95	2011	117	103.48	41.99
7135	540723	0	D	5	1	2046559	117.07	2012	23	42.93	114.83
21282	118939	1	D	4	1	1005560	143.6	2007	21	87.12	116.61
67744	2605451	0	S	1	0	295331	39.99	2000	31	0.0	38.38
45005	705654	0	S	5	1	596216	209.25	2011	12	94.99	188.56
48090	789381	0	S	4	1	1606221	275.0	2004	18	233.36	72.98
37098	2313619	0	S	4	1	4956456	69.42	1978	42	40.95	14.98
64007	165379	0	S	2	1	908190	65.0	2001	35	5.72	38.14
598	54795	0	D	1	0	503042	76.5	1997	85	31.34	27.98
16012	163113	1	D	7	1	320452	51.31	2011	73	137.8	53.05
41995	202195	0	S	2	1	684193	221.95	2001	24	0.0	88.93
81	641332	0	D	2	1	2038184	115.0	2002	25	47.23	42.99
12817	613595	0	D	1	0	264356	119.8	1986	77	90.99	41.41
31920	117040	0	D	3	1	715388	92.6	2008	37	34.96	27.88
28378	2331183	0	D	0	0	7269614	0.0	1978	16	46.09	87.93
15689	551559	0	D	2	1	1482273	89.95	1997	24	83.97	33.86
883	60272	0	D	6	1	1413051	146.67	2002	24	142.04	16.65
8550	916604	1	D	2	1	774464	69.5	2002	34	88.72	51.6
64835	117215	0	S	2	1	282330	88.0	2006	21	33.14	193.07
3558	894253	0	D	1	0	5165260	229.0	1998	15	232.26	52.98
45418	866993	0	S	8	1	308793	50.0	2014	16	30.99	34.37
1280	174658	0	D	1	0	2115255	84.0	2000	28	48.98	35.99
7230	924255	1	D	4	1	24521	69.95	2015	47	51.29	43.97
73421	539459	0	S	3	1	12014	56.2	2013	53	28.79	35.02
30158	852446	0	D	2	1	1663732	7.99	2001	33	33.98	10.99
5518	252616	0	D	2	1	34263	53.99	2010	93	77.87	45.89
54874	637105	0	S	6	1	79190	91.55	2009	13	0.0	0.0
84963	193717	0	S	3	1	698092	30.95	2009	36	21.73	18.99
55082	57952	0	S	3	1	637983	197.75	2004	49	148.53	9.98
19434	247722	0	D	0	0	1202678	66.0	2005	28	60.89	45.51
19828	142111	0	D	10	1	728380	51.01	2010	34	7.83	55.51
1222	1466028	0	D	1	0	4019248	59.95	2007	28	44.2	31.99
6919	110619	1	D	13	1	146180	129.41	2011	41	103.7	38.99
61028	477800	0	S	2	1	18372	18.99	2011	41	0.0	0.0
72584	312711	0	S	8	1	5719183	128.93	2001	25	24.14	10.99
29627	526547	0	D	8	1	154420	72.95	2011	54	61.92	68.94
3977	255745	0	D	1	0	1159223	56.95	2004	16	0.0	0.0
26391	262683	1	D	6	1	273252	42.95	2005	111	43.97	20.99
26855	193260	0	D	0	0	3873614	54.0	2002	29	51.44	10.99
30103	534108	1	D	4	1	136896	28.11	2005	47	133.87	28.97
54965	255775	0	S	1	0	179195	64.95	2007	25	0.0	63.48
48669	1656727	1	S	2	1	425713	74.99	2010	34	144.67	37.89
23358	807848	1	D	0	0	627586	59.99	2010	16	0.0	33.95
75758	864723	0	S	9	1	36486	57.0	2014	68	23.97	31.47
24487	288817	1	D	6	1	342638	105.0	2007	104	45.31	24.99
17809	162493	1	D	5	1	60668	23.87	2010	131	53.76	10.98
19252	1469443	0	D	1	0	2516683	125.0	2010	13	59.23	42.48
47809	885057	0	S	3	1	524831	133.0	2009	15	21.85	43.98
51347	878076	0	S	9	1	347493	67.58	2010	26	147.75	62.04
44905	699323	0	S	13	1	656582	82.84	2012	10	244.6	78.99
27560	544335	0	D	7	1	136946	295.95	2013	70	65.68	53.99
59020	212277	0	S	0	0	235920	50.0	2003	39	26.41	125.07
27454	293892	1	D	1	0	241711	139.95	2010	73	64.93	47.42
21643	50474	0	D	12	1	117626	200.95	2009	94	102.32	33.98
667	286111	0	D	0	0	429892	123.0	2004	97	33.8	19.97
76530	2641572	0	S	4	1	469500	138.76	2004	20	4806.18	122.5
32115	264496	0	D	2	1	3361699	55.95	2005	31	25.31	18.38
6660	299394	1	D	2	1	780726	56.0	2000	37	83.59	43.13
2009	872101	0	D	4	1	2716700	22.79	2009	45	66.28	19.4
8397	203990	0	D	2	1	1552383	44.95	2007	38	30.98	11.18
76468	649707	1	S	4	1	713952	148.0	2012	30	78.99	103.99
77751	177364	0	S	3	1	727790	163.95	2000	35	9.97	5.01
26698	147040	0	D	1	0	150021	58.95	2006	19	39.77	46.97
37609	50796	0	S	7	1	115458	213.33	2008	123	83.78	37.94
6608	623463	1	D	4	1	89600	53.25	2010	44	226.38	37.29
53933	624976	0	S	1	0	1618811	198.0	1997	32	87.08	54.59
13374	53935	1	D	7	1	81228	36.98	2010	112	153.98	32.43
48234	1782590	0	S	4	1	556481	98.95	2012	45	0.0	186.17
54148	276654	0	S	3	1	324094	59.0	2009	53	37.88	13.99
20378	3033887	0	D	2	1	601757	72.5	2005	26	90.2	4.99
30269	658405	1	D	4	1	1151670	102.0	2011	26	220.3	68.61
18424	530082	0	D	7	1	831834	121.2	2008	59	88.5	21.84
22599	115797	0	D	1	0	226859	78.67	2006	54	71.98	17.98
66537	562156	0	S	5	1	42839	191.95	2008	28	160.24	103.89
21104	50244	1	D	11	1	145463	84.95	2009	186	51.03	24.49
39357	254334	0	S	3	1	5018	15.95	2010	85	7.83	11.38
48183	290990	0	S	4	1	253962	153.95	2011	43	101.5	144.7
53264	723113	0	S	1	0	1475618	79.0	2013	17	38.2	30.99
25636	244066	0	D	14	1	227075	162.95	2011	65	109.97	5.29
11130	52582	0	D	5	1	2593423	266.95	2005	58	117.38	6.97
17412	661299	0	D	1	0	2108261	99.95	2009	21	54.89	28.99
76052	296804	0	S	2	1	73053	49.95	2008	22	0.0	0.0
17547	295419	0	D	6	1	206168	84.2	1999	17	76.58	94.96
6145	133272	0	D	7	1	384447	40.0	2010	40	73.99	42.91
37056	123995	1	S	8	1	361475	87.95	1999	49	0.0	21.67
80748	386526	1	S	15	1	1338265	39.99	2011	34	26.29	5.88
7029	533441	0	D	7	1	29887	150.2	2012	53	123.99	43.59
2095	909772	0	D	0	0	6909260	31.95	1999	19	13.98	15.99
50234	53058	1	S	3	1	2530410	136.95	2003	47	49.6	5.99
37218	795041	1	S	9	1	517916	0.0	2010	21	88.99	91.6
59218	61163	0	S	5	1	120918	4.0	2003	414	71.64	5.63
13291	2116479	0	D	2	1	7514174	50.95	2007	17	55.47	28.69
73221	528156	0	S	8	1	925670	20.0	2012	58	0.0	9.98
83248	896884	0	S	2	1	1608663	54.99	2014	21	38.17	39.16
346	54656	0	D	5	1	1079487	23.48	2008	74	24.07	20.62
11916	714051	0	D	2	1	9922343	64.0	2001	22	28.14	8.73
29477	557470	0	D	7	1	537957	165.6	2009	37	93.99	63.11
13065	579401	0	D	3	1	795023	10.0	2007	55	70.31	33.48
74550	557500	0	S	1	0	246841	76.6	2009	44	25.49	38.94
66358	318407	1	S	7	1	917659	67.95	1999	26	79.99	20.99
51819	873434	1	S	8	1	774883	39.99	2012	20	24.85	26.35
49214	794675	0	S	1	0	456770	55.95	2007	22	144.72	42.81
63283	561397	0	S	2	1	221779	54.99	2010	40	26.99	31.86
84887	663204	1	S	4	1	74211	109.75	2013	42	54.5	76.98
58222	3575639	1	S	3	1	2944767	69.0	2000	22	0.0	48.72
28203	116972	0	D	4	1	478805	177.4	2005	45	98.94	153.91
69779	486261	0	S	4	1	133367	132.95	2011	62	45.24	53.65
62817	144858	0	S	6	1	2601373	97.33	2005	24	4.79	23.64
82229	287572	0	S	4	1	889558	127.0	2007	52	4.0	16.98
53084	2057718	0	S	0	0	890182	60.0	2008	19	34.07	58.89
77675	297914	0	S	4	1	874701	82.0	2011	30	10.23	68.33
7989	120939	0	D	10	1	248474	136.0	2008	51	25.98	32.11
55563	2405976	0	S	3	1	8063326	19.95	1991	24	28.99	11.98
6130	129115	0	D	0	0	1128853	49.95	2007	29	32.98	30.43
82234	60981	0	S	4	1	2834973	36.95	2001	52	27.42	9.94
52471	285624	0	S	1	0	70342	91.4	2007	109	76.18	60.49
62337	544975	0	S	2	1	390617	76.0	2012	34	43.11	55.88
44782	903094	0	S	9	1	3757605	53.95	2006	22	30.49	36.98
13338	1469835	0	D	0	0	2522845	60.0	2006	18	34.05	52.97
56981	58542	0	S	13	1	901050	58.95	2007	42	20.98	22.91
47778	620707	0	S	2	1	1517126	96.0	2008	29	11.92	18.99
56623	155464	0	S	2	1	2668826	79.99	1995	20	67.92	73.97
27145	177064	0	D	5	1	651391	214.95	2004	45	65.67	46.0
14290	56441	0	D	5	1	88696	45.23	2010	58	123.47	52.89
8953	265908	0	D	0	0	4784422	141.0	2005	14	37.99	31.26
24170	60631	0	D	5	1	967219	191.95	2006	92	136.28	13.73
64067	613992	0	S	2	1	31227	30.0	1992	99	17.48	128.98
79417	609792	0	S	4	1	818391	24.95	2007	82	19.03	5.57
84045	2603610	0	S	1	0	1061971	49.99	2003	19	0.0	39.95
72761	260559	0	S	2	1	256011	33.95	2001	53	15.33	10.0
2898	2578538	0	D	1	0	5716996	39.95	1988	17	32.99	0.0
32862	275061	0	D	3	1	2121956	39.95	1999	36	27.79	8.28
46229	199460	0	S	2	1	5458436	151.0	2002	11	94.84	69.51
